id	Col-0H-I_S1	Col-0H-II_S2	Col-0H-III_S3	Col-24H-I_S13	Col-24H-II_S14	Col-24H-III_S15	cat-0H-I_S4	cat-0H-II_S5	cat-0H-III_S6	cat-24H-I_S16	cat-24H-II_S17	cat-24H-III_S18	shr-0H-I_S7	shr-0H-II_S8	shr-0H-III_S9	shr-24H-I_S19	shr-24H-II_S20	shr-24H-III_S21	catshr-0H-I_S10	catshr-0H-II_S11	catshr-0H-III_S12	catshr-24H-I_S22	catshr-24H-II_S23	catshr-24H-III_S24
AT1G01010	67	63	60	147	222	112	138	162	164	1057	1196	1371	128	246	215	365	304	370	199	259	292	765	1223	1012
AT1G01020	362	378	304	341	375	430	335	390	487	475	531	650	320	494	429	555	549	573	419	369	457	632	606	692
AT1G01030	106	99	95	127	110	80	165	190	231	192	120	181	77	151	123	183	116	128	66	120	134	220	274	218
AT1G01040	2292	2037	1901	1940	1641	1659	2025	2122	2110	1875	1724	2400	1515	2044	1784	1444	1452	1477	1795	1430	1480	1737	1788	1901
AT1G01046	24	22	18	19	24	25	14	27	23	10	6	13	8	15	3	8	9	6	9	8	3	9	4	10
AT1G01050	1768	1722	1445	1853	1861	1830	2089	2169	1988	1968	2049	2493	1979	2483	2241	1947	1861	2284	2403	1845	2044	2475	2236	2600
AT1G01060	79	156	351	186	314	293	362	978	669	862	1169	928	50	408	199	172	218	653	166	161	70	212	313	474
AT1G01070	45	62	39	105	123	111	23	30	29	136	116	170	201	341	325	500	551	694	182	219	200	780	806	964
AT1G01073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01080	3111	2852	2751	1423	1251	1396	2510	2359	2538	560	458	841	2843	3821	3626	2091	2203	2210	2825	2529	2661	1500	1091	1409
AT1G01090	5632	4920	4843	6280	5973	6184	4767	4457	5076	3959	3761	5031	4422	5784	5927	5348	4777	5514	4576	4651	4777	6283	5644	6709
AT1G01100	3757	3099	2762	3135	3196	3263	3353	2960	3701	3733	4065	4375	3482	4869	4939	5093	4689	5162	3279	3756	3546	6919	6162	6869
AT1G01110	130	122	154	79	58	68	124	102	105	44	32	78	97	121	79	77	74	56	68	64	53	59	45	41
